Date,Open,High,Low,Close,Adj Close,Volume
2021-09-08,51400.000000,52500.000000,51400.000000,52500.000000,50059.324219,1697491
2021-09-09,51900.000000,52500.000000,51800.000000,51800.000000,49391.867188,1304317
2021-09-10,51900.000000,52000.000000,51100.000000,51500.000000,49105.812500,1371352
2021-09-13,51300.000000,51900.000000,51100.000000,51800.000000,49391.867188,948301
2021-09-14,52200.000000,53000.000000,52200.000000,52300.000000,49868.621094,2061406
2021-09-15,51800.000000,53000.000000,51700.000000,52700.000000,50250.027344,1095987
2021-09-16,52900.000000,53100.000000,51800.000000,52100.000000,49677.921875,974810
2021-09-17,52100.000000,52200.000000,51800.000000,52100.000000,49677.921875,914476
2021-09-23,51200.000000,51900.000000,50800.000000,51500.000000,49105.812500,1181357
2021-09-24,52200.000000,53200.000000,52000.000000,53000.000000,50536.082031,1358283
2021-09-27,52100.000000,53500.000000,52100.000000,52900.000000,50440.730469,1014095
2021-09-28,53900.000000,54700.000000,53400.000000,54500.000000,51966.343750,2317955
2021-09-29,54600.000000,55300.000000,54000.000000,55200.000000,52633.804688,2471338
2021-09-30,55200.000000,55800.000000,54800.000000,55300.000000,52729.156250,1198334
2021-10-01,55600.000000,55600.000000,54800.000000,55200.000000,52633.804688,1563801
2021-10-05,54300.000000,55400.000000,54100.000000,54800.000000,52252.402344,1505488
2021-10-06,55300.000000,55500.000000,54100.000000,54200.000000,51680.292969,1234783
2021-10-07,54900.000000,55800.000000,54800.000000,55800.000000,53205.914063,1350703
2021-10-08,55100.000000,55500.000000,54700.000000,55100.000000,52538.453125,1029116
2021-10-12,54000.000000,55000.000000,53300.000000,54600.000000,52061.699219,1672336
2021-10-13,53800.000000,54400.000000,53600.000000,53700.000000,51203.539063,1082239
2021-10-14,54600.000000,54800.000000,53800.000000,54600.000000,52061.699219,1223866
2021-10-15,54200.000000,55900.000000,54200.000000,55800.000000,53205.914063,1385071
2021-10-18,56000.000000,56300.000000,55200.000000,55900.000000,53301.261719,848627
2021-10-19,55700.000000,56100.000000,55000.000000,55400.000000,52824.503906,726488
2021-10-20,55600.000000,56400.000000,55200.000000,56100.000000,53491.964844,1221886
2021-10-21,56300.000000,57400.000000,55700.000000,57400.000000,54731.527344,1812633
2021-10-22,57100.000000,58200.000000,57000.000000,57600.000000,54922.234375,1476494
2021-10-25,58000.000000,59300.000000,57600.000000,59100.000000,56352.496094,1912966
2021-10-26,59300.000000,59400.000000,58200.000000,59100.000000,56352.496094,1311289
2021-10-27,59200.000000,59400.000000,58300.000000,58600.000000,55875.742188,1371500
2021-10-28,58800.000000,59200.000000,57700.000000,57800.000000,55112.933594,2055977
2021-10-29,57900.000000,58500.000000,56100.000000,56600.000000,53968.722656,1747964
2021-11-01,57000.000000,57200.000000,56300.000000,56800.000000,54159.421875,1034399
2021-11-02,57100.000000,57900.000000,56500.000000,57000.000000,54350.125000,1226486
2021-11-03,57000.000000,57100.000000,55200.000000,55400.000000,52824.503906,972628
2021-11-04,56200.000000,56700.000000,55700.000000,56000.000000,53396.613281,1102324
2021-11-05,55500.000000,56000.000000,54400.000000,55100.000000,52538.453125,1337402
2021-11-08,55400.000000,55500.000000,54300.000000,55300.000000,52729.156250,681934
2021-11-09,55200.000000,56300.000000,54800.000000,55800.000000,53205.914063,1028240
2021-11-10,55200.000000,56300.000000,55200.000000,55800.000000,53205.914063,765574
2021-11-11,56400.000000,56500.000000,55300.000000,55900.000000,53301.261719,1082231
2021-11-12,56500.000000,56500.000000,55800.000000,56400.000000,53778.015625,687470
2021-11-15,56000.000000,56400.000000,55600.000000,56300.000000,53682.664063,908971
2021-11-16,56400.000000,56900.000000,55900.000000,56900.000000,54254.773438,834355
2021-11-17,56700.000000,56900.000000,55600.000000,55900.000000,53301.261719,823002
2021-11-18,55400.000000,55900.000000,54700.000000,55800.000000,53205.914063,863089
2021-11-19,54700.000000,56700.000000,54700.000000,56700.000000,54064.074219,1022217
2021-11-22,55900.000000,56800.000000,55700.000000,56400.000000,53778.015625,1115756
2021-11-23,56800.000000,58000.000000,56600.000000,57100.000000,54445.476563,1564146
2021-11-24,57900.000000,58200.000000,57300.000000,57600.000000,54922.234375,1269042
2021-11-25,56700.000000,57700.000000,56600.000000,57100.000000,54445.476563,846949
2021-11-26,56900.000000,57000.000000,55500.000000,55800.000000,53205.914063,1005921
2021-11-29,54900.000000,56000.000000,54300.000000,55300.000000,52729.156250,1155738
2021-11-30,54600.000000,54900.000000,52200.000000,52800.000000,50345.378906,3787449
2021-12-01,53300.000000,54200.000000,52400.000000,53900.000000,51394.242188,1403246
2021-12-02,52700.000000,55000.000000,52600.000000,55000.000000,52443.101563,928830
2021-12-03,55100.000000,57000.000000,54600.000000,57000.000000,54350.125000,1554736
2021-12-06,57000.000000,57500.000000,56200.000000,57000.000000,54350.125000,902870
2021-12-07,56500.000000,57500.000000,56500.000000,57400.000000,54731.527344,819690
2021-12-08,57400.000000,58400.000000,57300.000000,57500.000000,54826.878906,1138515
2021-12-09,57400.000000,57900.000000,56600.000000,57600.000000,54922.234375,1587365
2021-12-10,57500.000000,58200.000000,56800.000000,57900.000000,55208.285156,1268070
2021-12-13,57900.000000,58700.000000,57200.000000,57500.000000,54826.878906,875843
2021-12-14,56900.000000,57600.000000,56700.000000,57400.000000,54731.527344,664523
2021-12-15,57300.000000,57400.000000,56300.000000,57300.000000,54636.175781,607229
2021-12-16,56800.000000,57400.000000,56200.000000,56600.000000,53968.722656,818664
2021-12-17,56600.000000,58400.000000,56300.000000,58400.000000,55685.039063,1714082
2021-12-20,57600.000000,57900.000000,56700.000000,56800.000000,54159.421875,883171
2021-12-21,57500.000000,57700.000000,56900.000000,57200.000000,54540.824219,756164
2021-12-22,57000.000000,57600.000000,56900.000000,57100.000000,54445.476563,525681
2021-12-23,57600.000000,57600.000000,57000.000000,57400.000000,54731.527344,624055
2021-12-24,57400.000000,57900.000000,57300.000000,57400.000000,54731.527344,512369
2021-12-27,57500.000000,57600.000000,56700.000000,56700.000000,54064.074219,725512
2021-12-28,57200.000000,57200.000000,56500.000000,56800.000000,54159.421875,1454159
2021-12-29,55000.000000,55500.000000,54600.000000,55400.000000,54942.902344,1160250
2021-12-30,55100.000000,55600.000000,54800.000000,55000.000000,54546.203125,716768
2022-01-04,55800.000000,56400.000000,55600.000000,56400.000000,55934.652344,927067
2022-01-05,56400.000000,57100.000000,55800.000000,56600.000000,56133.003906,1429634
2022-01-06,56600.000000,56900.000000,55500.000000,55800.000000,55339.605469,988985
2022-01-07,56000.000000,56100.000000,54800.000000,55700.000000,55240.429688,1193940
2022-01-10,56100.000000,58100.000000,55900.000000,57800.000000,57323.101563,1944937
2022-01-11,58300.000000,60000.000000,58100.000000,60000.000000,59504.949219,3039380
2022-01-12,60100.000000,62000.000000,59600.000000,61900.000000,61389.273438,2905914
2022-01-13,62300.000000,62300.000000,61200.000000,62300.000000,61785.972656,1673509
2022-01-14,62000.000000,63000.000000,60700.000000,62200.000000,61686.796875,1504980
2022-01-17,62000.000000,62100.000000,60800.000000,61200.000000,60695.050781,1391788
2022-01-18,61300.000000,62300.000000,61000.000000,61700.000000,61190.921875,1148864
2022-01-19,61700.000000,63400.000000,61200.000000,61900.000000,61389.273438,1465535
2022-01-20,61900.000000,61900.000000,59300.000000,59500.000000,59009.074219,1735684
2022-01-21,59500.000000,60400.000000,59300.000000,60300.000000,59802.476563,1622020
2022-01-24,60600.000000,60700.000000,57900.000000,58800.000000,58314.851563,1241129
2022-01-25,57900.000000,58400.000000,56100.000000,57100.000000,56628.878906,1693689
2022-01-26,57100.000000,57100.000000,57100.000000,57100.000000,56628.878906,0
2022-01-27,58300.000000,59600.000000,57200.000000,58000.000000,57521.453125,1435153
2022-01-28,58500.000000,59700.000000,58000.000000,59500.000000,59009.074219,1509299
2022-02-03,60600.000000,60700.000000,59100.000000,59400.000000,58909.902344,1640427
2022-02-04,60400.000000,61000.000000,59700.000000,60900.000000,60397.523438,1112228
2022-02-07,61300.000000,61400.000000,60200.000000,61200.000000,60695.050781,1267454
2022-02-08,61200.000000,61200.000000,61200.000000,61200.000000,60695.050781,0
2022-02-09,61200.000000,61200.000000,61200.000000,61200.000000,60695.050781,0
2022-02-10,65200.000000,65500.000000,64000.000000,65500.000000,64959.570313,2290176
2022-02-11,64700.000000,66400.000000,63900.000000,65800.000000,65257.093750,1965423
2022-02-14,64700.000000,65400.000000,63400.000000,64600.000000,64066.996094,1520041
2022-02-15,64500.000000,65100.000000,63600.000000,64500.000000,63967.820313,964595
2022-02-16,64800.000000,64900.000000,63100.000000,64600.000000,64066.996094,1276072
2022-02-17,65200.000000,65900.000000,64600.000000,65100.000000,64562.871094,1244019
2022-02-18,63600.000000,64300.000000,63500.000000,63700.000000,63174.421875,1161226
2022-02-21,63700.000000,63700.000000,63700.000000,63700.000000,63174.421875,0
2022-02-22,63700.000000,63700.000000,63700.000000,63700.000000,63174.421875,0
2022-02-23,63700.000000,63700.000000,63700.000000,63700.000000,63174.421875,0
2022-02-24,61500.000000,62200.000000,60400.000000,61000.000000,60496.699219,1169608
2022-02-25,60400.000000,60600.000000,58300.000000,58900.000000,58414.027344,2233157
2022-02-28,58900.000000,58900.000000,58900.000000,58900.000000,58414.027344,0
2022-03-02,58600.000000,58700.000000,57000.000000,57300.000000,56827.226563,2133467
2022-03-03,57600.000000,58700.000000,57600.000000,58400.000000,57918.152344,1362111
2022-03-04,58400.000000,58400.000000,58400.000000,58400.000000,57918.152344,0
2022-03-07,56000.000000,56300.000000,54800.000000,55000.000000,54546.203125,2223787
2022-03-08,53500.000000,54100.000000,53100.000000,53200.000000,52761.054688,2705110
2022-03-10,53200.000000,53200.000000,53200.000000,53200.000000,52761.054688,0
2022-03-11,53200.000000,53200.000000,53200.000000,53200.000000,52761.054688,0
2022-03-14,54800.000000,56300.000000,54500.000000,55800.000000,55339.605469,1711663
2022-03-15,55800.000000,55800.000000,55800.000000,55800.000000,55339.605469,0
2022-03-16,55800.000000,55800.000000,55800.000000,55800.000000,55339.605469,0
